in _DET_	1667261837	2578295	646.65283	1950	2009	60
in_ADP _DET_	1667258011	2578295	646.65137	1950	2009	60
in _NOUN_	1278772791	2576651	496.29257	1950	2009	60
in_ADP _NOUN_	1276009315	2576635	495.22318	1950	2009	60
I _VERB_	1172651050	2498074	469.42206	1950	2009	60
I_PRON _VERB_	1172650748	2498074	469.42194	1950	2009	60
in the	1076712760	2576511	417.89563	1950	2009	60
in_ADP the_DET	1076712760	2576511	417.89563	1950	2009	60
in_ADP the	1076712760	2576511	417.89563	1950	2009	60
in the_DET	1076712760	2576511	417.89563	1950	2009	60
